"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.748889940E-1,1.670205593E-2,7.721047401E-1,-7.999181747E-1
3.773914770E-1,1.632273197E-3,8.001636267E-1,-8.380079269E-1
3.798940160E-1,-3.343224525E-4,7.868999243E-1,-8.710298538E-1
3.823967060E-1,3.747880459E-3,8.363462687E-1,-8.919439316E-1
3.848992460E-1,-1.214444637E-2,8.369196653E-1,-8.679676056E-1
3.874016890E-1,-1.054930687E-2,8.701679111E-1,-8.565378189E-1
3.899043790E-1,-6.833094358E-2,8.705527782E-1,-8.156080246E-1
3.924069200E-1,-6.598275900E-2,8.621569872E-1,-7.498998642E-1
3.949096100E-1,-4.369288683E-2,8.823611736E-1,-7.068824768E-1
3.974120930E-1,-1.485723257E-2,8.699055314E-1,-6.659879684E-1
3.999146290E-1,-1.970833540E-2,8.849003911E-1,-5.460519791E-1
4.024173210E-1,3.855645657E-3,8.545212150E-1,-5.109958649E-1
4.049198620E-1,-9.172672033E-2,8.161665201E-1,-5.011291504E-1
4.074223520E-1,-3.842699528E-2,7.937058210E-1,-4.709501266E-1
4.099250430E-1,-1.248347759E-2,7.542781234E-1,-4.669055939E-1
4.124275830E-1,3.133791685E-2,6.287533045E-1,-4.688644409E-1
4.149302740E-1,1.608700156E-1,4.369606376E-1,-6.467657089E-1
4.174327900E-1,2.702254057E-2,4.369281232E-1,-8.596954346E-1
4.199352520E-1,-8.280694485E-2,5.412598252E-1,-1.163739204E0
4.224379420E-1,2.607810497E-2,1.956081688E-1,-1.233161926E0
4.249404820E-1,4.014122486E-2,1.863744855E-2,-1.520097733E0
4.274431880E-1,9.558457136E-2,3.739147782E-1,-2.153865814E0
4.299456510E-1,2.281602621E-1,4.657300115E-1,-2.283802032E0
4.324484180E-1,2.881221175E-1,4.374545813E-1,-2.003763199E0
4.349508820E-1,3.755239248E-1,4.417151511E-1,-1.602627754E0
4.374534530E-1,3.460001945E-1,4.077445865E-1,-1.326690674E0
4.399559150E-1,3.084681630E-1,3.161620796E-1,-1.239575386E0
4.424586820E-1,3.483597636E-1,1.949587017E-1,-1.174372673E0
4.449611460E-1,3.254933953E-1,1.290838867E-1,-1.072910309E0
4.474638360E-1,2.161788940E-2,1.798412651E-1,-9.939966202E-1
4.499663770E-1,-1.240268946E-1,1.928043514E-1,-9.288473129E-1
4.524690670E-1,-6.862175465E-2,8.979970217E-2,-9.198045731E-1
4.549716070E-1,6.756615639E-2,6.439748406E-2,-9.315805435E-1
4.574740690E-1,1.904863119E-1,2.632269263E-2,-1.029541016E0
4.599767830E-1,3.430613279E-1,2.364337444E-3,-1.097067833E0
4.624793240E-1,3.975871801E-1,-3.156548738E-2,-1.070115089E0
4.649820140E-1,3.592239618E-1,-1.102150381E-1,-1.078280449E0
4.674844780E-1,3.927538395E-1,-1.314172745E-1,-1.022368431E0
4.699870190E-1,2.145785093E-1,-1.022040248E-1,-9.673261642E-1
4.724897110E-1,1.705061197E-1,-1.401709020E-1,-9.902524948E-1
4.749922520E-1,2.083343267E-1,-3.693266213E-1,-9.452352524E-1
4.774947130E-1,3.589028120E-1,-2.770288885E-1,-9.940414429E-1
