"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
8.303588550E-1,-2.543750107E-1,-3.427875042E-1,-2.191749960E-1
8.328613950E-1,-2.447499931E-1,-3.448500037E-1,-2.149125040E-1
8.353638860E-1,-2.406249940E-1,-3.810124993E-1,-2.000624985E-1
8.378665760E-1,-2.447499931E-1,-4.236375093E-1,-1.841125041E-1
8.403691170E-1,-2.447499931E-1,-4.587000012E-1,-1.733874977E-1
8.428718070E-1,-2.426874936E-1,-4.916999936E-1,-1.596374959E-1
8.453742800E-1,-2.437874973E-1,-5.204374790E-1,-1.468500048E-1
8.478768160E-1,-2.565749884E-1,-5.363875031E-1,-1.329624951E-1
8.503795080E-1,-2.725250125E-1,-5.428500175E-1,-1.190750003E-1
8.528820490E-1,-2.927374840E-1,-5.460125208E-1,-1.021625027E-1
8.553845050E-1,-3.183124959E-1,-5.482124686E-1,-8.401250094E-2
8.578871960E-1,-3.502124846E-1,-5.524749756E-1,-6.586249918E-2
8.603897360E-1,-3.874749839E-1,-5.556374788E-1,-4.675000161E-2
8.628924260E-1,-4.268000126E-1,-5.608624816E-1,-3.079999983E-2
8.653949010E-1,-4.651624858E-1,-5.726875067E-1,-1.484999992E-2
8.678974370E-1,-5.022875071E-1,-5.960624814E-1,-5.224999972E-3
8.704001300E-1,-5.395500064E-1,-6.290624738E-1,3.299999982E-3
8.729026700E-1,-5.779125094E-1,-6.609625220E-1,-6.324999966E-3
8.754053700E-1,-6.120125055E-1,-6.811749935E-1,-4.991250113E-2
8.779079100E-1,-6.535375118E-1,-7.088124752E-1,-8.291249722E-2
8.804103720E-1,-6.971250176E-1,-7.312250137E-1,-1.201749966E-1
8.829130620E-1,-7.460749745E-1,-7.534999847E-1,-1.637624949E-1
8.854156070E-1,-8.024500012E-1,-7.727500200E-1,-2.138125002E-1
8.879180690E-1,-8.641874790E-1,-7.886999846E-1,-2.755500078E-1
8.904208360E-1,-9.301875234E-1,-8.014875054E-1,-3.511750102E-1
8.929233000E-1,-1.001412511E0,-8.003875017E-1,-4.149749875E-1
8.954259900E-1,-1.073874950E0,-7.950249910E-1,-4.724499881E-1
8.979284830E-1,-1.141937494E0,-7.864999771E-1,-5.171374679E-1
9.004312500E-1,-1.202574968E0,-7.833374739E-1,-5.522000194E-1
9.029337130E-1,-1.271737456E0,-7.981874943E-1,-5.746124983E-1
9.054362520E-1,-1.338837504E0,-8.216999769E-1,-5.894625187E-1
9.079389420E-1,-1.413362503E0,-8.632249832E-1,-5.970249772E-1
9.104414830E-1,-1.497375011E0,-8.971874714E-1,-6.118749976E-1
9.129439440E-1,-1.573962450E0,-9.046124816E-1,-6.320874691E-1
9.154466340E-1,-1.645324945E0,-8.951249719E-1,-6.502375007E-1
