"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.172945940E-1,-2.401950121E0,1.129950047E0,-1.566000104E0
5.197970550E-1,-2.136000156E0,1.033950090E0,-1.627950072E0
5.222995310E-1,-1.717050076E0,7.609500289E-1,-1.867950082E0
5.248019920E-1,-8.209500313E-1,-3.900000155E-1,-2.850000143E0
5.273044530E-1,-9.480000734E-1,-6.420000196E-1,-3.259050131E0
5.298068900E-1,-1.357950091E0,-6.270000339E-1,-2.260950089E0
5.323093520E-1,-1.417950034E0,-9.480000734E-1,-1.525050044E0
5.348118140E-1,-1.695000052E0,-1.081950068E0,-9.630000591E-1
5.373142760E-1,-1.755000114E0,-1.252050042E0,-7.639500499E-1
5.398167480E-1,-1.710000038E0,-1.501050115E0,-6.850500107E-1
5.423192090E-1,-1.741050124E0,-1.683000088E0,-5.820000172E-1
5.448216700E-1,-1.746000051E0,-1.983000040E0,-4.720500112E-1
5.473241310E-1,-1.753050089E0,-2.242050171E0,-1.440000087E-1
5.498265920E-1,-1.818000078E0,-2.448000193E0,3.750000298E-1
5.523288250E-1,-1.909050107E0,-2.733000040E0,1.102950096E0
5.548312840E-1,-2.074050188E0,-3.034050226E0,1.597050071E0
5.573337460E-1,-2.076000214E0,-3.325950146E0,2.004000187E0
5.598362070E-1,-1.858050108E0,-3.718950272E0,2.631000042E0
5.623386690E-1,-1.558950067E0,-4.023000240E0,3.223050117E0
5.648411300E-1,-1.057950020E0,-4.342050076E0,3.787950277E0
5.673435920E-1,-6.079500318E-1,-4.701000214E0,4.468050003E0
5.698460540E-1,-3.600000218E-2,-5.101050377E0,5.010000229E0
5.723485160E-1,4.969500303E-1,-5.500950336E0,5.560050488E0
5.748509780E-1,9.790500402E-1,-5.856000423E0,6.327000141E0
5.773534400E-1,1.306950092E0,-6.150000095E0,7.423950195E0
5.798561210E-1,1.459950089E0,-6.427950382E0,8.377050400E0
5.823583440E-1,1.369050026E0,-6.580950260E0,9.196050644E0
5.848610350E-1,4.810500145E-1,-6.568950176E0,1.011795044E1
5.873632670E-1,-9.240000248E-1,-6.442050457E0,1.102605057E1
5.898659530E-1,-2.325000048E0,-6.282000065E0,1.136400032E1
5.923681850E-1,-3.223050117E0,-6.301050186E0,1.119600010E1
5.948708760E-1,-3.700050116E0,-6.435000420E0,1.067595005E1
5.973731090E-1,-3.697950125E0,-6.598050117E0,1.044405079E1
5.998757990E-1,-3.516000271E0,-6.700950146E0,1.043400097E1
6.023782620E-1,-3.520050049E0,-6.511950493E0,9.948000908E0
6.048804930E-1,-3.564000130E0,-6.078000069E0,9.238950729E0
6.073831840E-1,-3.549000263E0,-5.547000408E0,8.554050446E0
6.098854160E-1,-3.589950085E0,-5.022000313E0,7.987050533E0
6.123881070E-1,-3.681000233E0,-4.620000362E0,7.327950478E0
6.148903440E-1,-3.894000292E0,-4.327950001E0,6.607050419E0
6.173928040E-1,-4.093050003E0,-4.107000351E0,5.998950481E0
6.198952690E-1,-4.251000404E0,-3.964050293E0,5.410050392E0
6.223977310E-1,-4.435050011E0,-3.916050196E0,4.863000393E0
6.249001930E-1,-4.645950317E0,-3.898950100E0,4.441950321E0
6.274026400E-1,-4.881000042E0,-3.967950106E0,4.116000175E0
6.299051020E-1,-5.110950470E0,-4.126049995E0,3.834000111E0
6.324075640E-1,-5.329050064E0,-4.324950218E0,3.598950148E0
6.349100070E-1,-5.535000324E0,-4.567049980E0,3.466950178E0
6.374124690E-1,-5.827050209E0,-4.822950363E0,3.364050150E0
6.399149310E-1,-6.094950199E0,-4.974000454E0,3.295050144E0
6.424173920E-1,-6.373050213E0,-5.199000359E0,3.285000086E0
6.449198530E-1,-6.736950397E0,-5.401050091E0,3.295050144E0
6.474223140E-1,-7.060050488E0,-5.511000156E0,3.352050066E0
6.499247750E-1,-7.398000240E0,-5.635050297E0,3.414000273E0
6.524272370E-1,-7.783950329E0,-5.764950275E0,3.532050133E0
6.549296990E-1,-8.152050018E0,-5.809950352E0,3.580050230E0
6.574321610E-1,-8.530950546E0,-5.941950321E0,3.628050089E0
6.599346080E-1,-8.907000542E0,-6.034950256E0,3.714000225E0
6.624370700E-1,-9.213000298E0,-6.052050114E0,3.847950220E0
6.649395360E-1,-9.514950752E0,-6.066000462E0,3.955950260E0
6.674419970E-1,-9.787950516E0,-6.001950264E0,4.107000351E0
6.699444580E-1,-9.943950653E0,-5.908050060E0,4.223999977E0
6.724469380E-1,-9.991950035E0,-5.877000332E0,4.399050236E0
6.749493990E-1,-9.987000465E0,-5.899050236E0,4.561950207E0
6.774518610E-1,-1.003305054E1,-5.917950153E0,4.746000290E0
6.799543280E-1,-1.004895020E1,-5.968050480E0,4.939950466E0
6.824567900E-1,-1.005600071E1,-6.078000069E0,5.158050060E0
6.849592470E-1,-1.008795071E1,-6.193050385E0,5.362050056E0
6.874617090E-1,-1.018305016E1,-6.282000065E0,5.589000225E0
6.899641710E-1,-1.036095047E1,-6.363000393E0,5.716050148E0
6.924666320E-1,-1.059300041E1,-6.423000336E0,5.842950344E0
6.949690930E-1,-1.079205036E1,-6.454050541E0,5.914950371E0
6.974715540E-1,-1.100505066E1,-6.471000195E0,5.989050388E0
6.999740150E-1,-1.116495037E1,-6.499950409E0,6.022950172E0
7.024764760E-1,-1.129500008E1,-6.562050343E0,5.992050171E0
7.049789380E-1,-1.149300098E1,-6.667950153E0,5.959950447E0
7.074814000E-1,-1.170705032E1,-6.730050087E0,5.842950344E0
7.099838620E-1,-1.203495026E1,-6.904950142E0,5.761950493E0
7.124863380E-1,-1.242495060E1,-7.020000458E0,5.625000477E0
7.149888000E-1,-1.278705025E1,-7.113000393E0,5.517000198E0
7.174912620E-1,-1.307400036E1,-7.240050316E0,5.448000431E0
7.199937230E-1,-1.343805027E1,-7.206000328E0,5.340000153E0
7.224961750E-1,-1.374705029E1,-7.072050571E0,5.215950012E0
7.249986360E-1,-1.399095058E1,-6.919050217E0,5.077050209E0
7.275010970E-1,-1.426905060E1,-6.720000267E0,5.035950184E0
7.300035720E-1,-1.448205090E1,-6.478050232E0,4.990050316E0
7.325060340E-1,-1.470300102E1,-6.214950085E0,4.986000061E0
7.350084210E-1,-1.486305046E1,-5.961000443E0,5.023950100E0
7.375109570E-1,-1.504095078E1,-5.677950382E0,5.095950127E0
7.400134210E-1,-1.517700100E1,-5.470050335E0,5.248950481E0
7.425158820E-1,-1.530600071E1,-5.239950180E0,5.419050217E0
7.450183440E-1,-1.547205067E1,-5.050950050E0,5.697000504E0
7.475208050E-1,-1.569705105E1,-4.828050137E0,5.965050220E0
7.500232670E-1,-1.585005093E1,-4.603050232E0,6.247950077E0
7.525257190E-1,-1.596705055E1,-4.440000057E0,6.568950176E0
7.550281800E-1,-1.604594994E1,-4.332000256E0,6.865950108E0
