"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
3.698390045E0,4.631250381E0,1.563750076E1,-3.980625153E1
3.718392418E0,5.606250286E0,1.575000095E1,-3.941250229E1
3.738390196E0,5.606250286E0,1.603125000E1,-3.920625305E1
3.758395550E0,6.131250381E0,1.456875038E1,-3.838125229E1
3.778396136E0,6.525000095E0,1.466250038E1,-3.849375153E1
3.798392541E0,6.318750381E0,1.603125000E1,-4.021875000E1
3.818396512E0,4.537500381E0,1.554375076E1,-3.950625229E1
3.838399196E0,4.687500298E-1,1.351875019E1,-3.888750076E1
3.858394066E0,-1.837500095E0,1.410000038E1,-3.960000229E1
3.878396967E0,-6.150000095E0,1.391250038E1,-3.879375076E1
3.898394994E0,-7.537500381E0,1.323750019E1,-3.860625076E1
3.918389225E0,-6.356250286E0,1.400625038E1,-3.860625076E1
3.938392299E0,-5.868750095E0,1.447500038E1,-3.800625229E1
3.958390900E0,-5.006250381E0,1.421250057E1,-3.770625305E1
3.978389745E0,-2.868750095E0,1.730625153E1,-3.804375076E1
3.998394262E0,-1.668750048E0,1.805625153E1,-3.866250229E1
4.018392074E0,3.750000000E-1,1.848750114E1,-3.774375153E1
4.038398186E0,5.812500119E-1,1.886250114E1,-3.796875000E1
4.058397515E0,1.425000072E0,1.953750038E1,-3.605625153E1
4.078394474E0,2.156250000E0,2.128125000E1,-3.568125153E1
4.098398817E0,5.831250191E0,2.441250038E1,-3.562500000E1
4.118396352E0,7.518750191E0,2.602500153E1,-3.502500153E1
4.138390765E0,9.637500763E0,2.617500114E1,-3.331875229E1
4.158393590E0,1.111875057E1,2.675625038E1,-3.311250305E1
4.178393833E0,1.098750019E1,2.630625153E1,-3.301875305E1
4.198389963E0,9.843750000E0,2.655000114E1,-3.343125153E1
4.218392925E0,8.287500381E0,2.679375076E1,-3.313125229E1
4.238392355E0,7.706250191E0,2.733750153E1,-3.324375153E1
4.258387936E0,7.781250477E0,2.668125153E1,-3.313125229E1
4.278391622E0,8.587500572E0,2.604375076E1,-3.442500305E1
4.298390777E0,9.262500763E0,2.505000114E1,-3.511875153E1
4.318396325E0,1.076250076E1,2.223750114E1,-3.586875153E1
4.338397627E0,1.081875038E1,1.966875076E1,-3.643125153E1
4.358394002E0,1.237500095E1,1.978125000E1,-3.654375076E1
4.378398212E0,1.400625038E1,1.835625076E1,-3.682500076E1
4.398398017E0,1.835625076E1,1.865625000E1,-3.540000153E1
4.418392286E0,2.133750153E1,1.790625000E1,-3.367500305E1
4.438395862E0,2.398125076E1,1.640625000E1,-3.204375076E1
4.458394690E0,2.435625076E1,1.548750019E1,-3.232500076E1
4.478390028E0,2.418750191E1,1.548750019E1,-3.363750076E1
4.498393424E0,2.326875114E1,1.353750038E1,-3.361875153E1
4.518391063E0,2.246250153E1,1.425000095E1,-3.211875153E1
4.538397632E0,2.077500153E1,1.320000076E1,-3.189375114E1
4.558398020E0,2.060625076E1,1.346250057E1,-3.290625000E1
4.578395005E0,1.970625114E1,1.481250095E1,-3.444375229E1
4.598399280E0,1.916250038E1,1.516875076E1,-3.605625153E1
4.618397795E0,1.777500153E1,1.513125038E1,-3.485625076E1
4.638393696E0,1.730625153E1,1.595625019E1,-3.515625000E1
4.658397091E0,1.704375076E1,1.723125076E1,-3.448125076E1
4.678395915E0,1.696875000E1,1.824375153E1,-3.450000000E1
4.698391246E0,1.719375038E1,2.028750038E1,-3.391875076E1
4.718393689E0,1.756875038E1,2.028750038E1,-3.290625000E1
4.738392501E0,1.880625153E1,1.968750000E1,-3.240000153E1
4.758387931E0,1.985625076E1,1.925625038E1,-3.189375114E1
4.778391464E0,2.105625153E1,1.963125038E1,-3.279375076E1
4.798390432E0,2.223750114E1,1.985625076E1,-3.279375076E1
4.818384580E0,2.231250000E1,2.032500076E1,-3.180000114E1
4.838388421E0,2.248125076E1,2.032500076E1,-3.058125114E1
4.858387328E0,2.105625153E1,2.047500038E1,-3.159375191E1
4.878393413E0,2.030625153E1,2.118750000E1,-3.241875076E1
4.898394157E0,1.953750038E1,2.079375076E1,-3.341250229E1
4.918389944E0,1.775625038E1,1.955625153E1,-3.341250229E1
4.938394923E0,1.623750114E1,1.961250114E1,-3.481875229E1
4.958394239E0,1.333125019E1,2.000625038E1,-3.573750305E1
4.978389735E0,1.237500095E1,2.051250076E1,-3.615000153E1
4.998393531E0,1.125000000E1,2.178750038E1,-3.626250076E1
5.018391536E0,1.222500038E1,2.255625153E1,-3.526875305E1
5.038397928E0,1.286250019E1,2.229375076E1,-3.425625229E1
5.058398870E0,1.316250038E1,2.266875076E1,-3.376875305E1
5.078395509E0,1.445625019E1,2.407500076E1,-3.348750305E1
5.098400265E0,1.436250019E1,2.463750076E1,-3.288750076E1
5.118398201E0,1.406250095E1,2.574375153E1,-3.168750191E1
5.138393660E0,1.385625076E1,2.610000038E1,-3.069375038E1
5.158397117E0,1.357500076E1,2.673750114E1,-3.009375191E1
5.178395664E0,1.447500038E1,2.906250191E1,-2.842500114E1
5.198391009E0,1.552500057E1,3.030000114E1,-2.643750191E1
5.218393691E0,1.642500114E1,3.052500153E1,-2.341875076E1
5.238392387E0,1.711875153E1,3.108750153E1,-2.251875114E1
5.258387755E0,1.713750076E1,3.155625153E1,-2.272500038E1
5.278391775E0,1.665000153E1,3.163125038E1,-2.302500153E1
5.298390659E0,1.443750095E1,3.166875076E1,-2.433750153E1
5.318395930E0,1.327500057E1,3.163125038E1,-2.484375191E1
5.338397516E0,1.228125095E1,3.088125038E1,-2.503125191E1
5.358394115E0,1.295625019E1,3.043125153E1,-2.501250076E1
5.378398318E0,1.501875019E1,2.900625038E1,-2.681250191E1
5.398397779E0,1.670625114E1,2.600625038E1,-2.746875191E1
5.418392133E0,1.756875038E1,2.473125076E1,-2.835000038E1
5.438395885E0,1.831875038E1,2.253750038E1,-2.941875076E1
5.458394890E0,1.916250038E1,2.146875000E1,-2.880000114E1
5.478389964E0,2.203125000E1,2.088750076E1,-2.748750114E1
5.498393048E0,2.450625038E1,2.040000153E1,-2.514375114E1
5.518390759E0,2.638125038E1,1.899375153E1,-2.332500076E1
5.538396953E0,2.634375191E1,1.816875076E1,-2.321250153E1
5.558397287E0,2.578125191E1,1.666875076E1,-2.600625038E1
5.578394504E0,2.508750153E1,1.683750153E1,-2.499375153E1
5.598399039E0,2.505000114E1,1.728750038E1,-2.671875191E1
5.618397407E0,2.456250191E1,1.698750114E1,-2.701875114E1
