"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
7.500232670E-1,-9.225350380E0,-7.587668896E-1,1.237998009E-1
7.525257190E-1,-9.363130569E0,9.128141403E-2,9.097881317E-1
7.550281800E-1,-9.445591927E0,2.691206932E-1,1.259227276E0
7.575306410E-1,-9.392384529E0,3.580660820E-1,1.624224663E0
7.600330620E-1,-9.319591522E0,4.068756104E-1,2.008186817E0
7.625355230E-1,-9.187410355E0,4.562563896E-1,2.336712837E0
7.650379750E-1,-8.935300827E0,4.643268585E-1,2.635396957E0
7.675404370E-1,-8.609889984E0,4.127454758E-1,2.837973595E0
7.700429090E-1,-8.323310852E0,3.392128944E-1,2.919766903E0
7.725453710E-1,-7.983410358E0,2.672128677E-1,2.919766903E0
7.750478330E-1,-7.710410595E0,2.502627373E-1,2.771716595E0
7.775502950E-1,-7.442360401E0,2.192130089E-1,2.567716599E0
7.800527560E-1,-7.131410122E0,2.142629623E-1,2.323816299E0
7.825552170E-1,-6.853310108E0,2.192130089E-1,2.059816360E0
7.850576780E-1,-6.642410755E0,2.522130013E-1,1.659766674E0
7.875601390E-1,-6.460310459E0,2.811627388E-1,1.168816566E0
7.900625260E-1,-6.394594669E0,6.576490402E-1,1.003284931E0
7.925649850E-1,-6.382097721E0,7.229609489E-1,5.735492706E-1
7.950674470E-1,-6.421451569E0,7.816882133E-1,7.857370377E-2
7.975699130E-1,-6.526914597E0,8.901648521E-1,-3.774571419E-1
8.000723750E-1,-6.638731956E0,9.702572823E-1,-7.763891220E-1
8.025748360E-1,-6.734626770E0,9.496965408E-1,-1.210629225E0
8.050773030E-1,-6.820957661E0,1.044719696E0,-1.534113884E0
8.075797650E-1,-6.876393318E0,1.019369125E0,-1.903272629E0
8.100822270E-1,-6.996112347E0,1.067996502E0,-2.144089699E0
8.125847220E-1,-7.069561005E0,1.226938248E0,-2.270619154E0
8.150871840E-1,-7.169777393E0,1.358464241E0,-2.369651556E0
8.175896610E-1,-7.350155830E0,1.575291634E0,-2.384634256E0
8.200921220E-1,-7.601402283E0,1.748496532E0,-2.419460297E0
8.225945830E-1,-7.847938538E0,1.927041769E0,-2.453791380E0
8.250970630E-1,-8.196709633E0,2.154598236E0,-2.366448641E0
8.275995240E-1,-8.567660332E0,2.295598269E0,-2.294448614E0
8.301019850E-1,-8.979303360E0,2.477979660E0,-2.225824118E0
8.326044370E-1,-9.430580139E0,2.825015545E0,-1.885233164E0
8.351068990E-1,-9.851631165E0,2.933015585E0,-1.758333206E0
8.376094370E-1,-1.029758072E1,3.078965425E0,-1.562283278E0
8.401118230E-1,-1.070963097E1,3.104915380E0,-1.449333191E0
8.426143600E-1,-1.106153107E1,3.054965496E0,-1.303233147E0
8.451167470E-1,-1.142558098E1,3.066965580E0,-1.215333223E0
