"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.609600480E-1,3.573000193E0,-2.764050245E0,2.916000128E0
5.634628170E-1,3.834000111E0,-2.983950138E0,2.730000019E0
5.659655770E-1,4.083000183E0,-3.097050190E0,2.562000036E0
5.684683460E-1,4.381950378E0,-3.255000114E0,2.274000168E0
5.709708870E-1,4.771950245E0,-3.477000237E0,2.111999989E0
5.734736440E-1,5.211000443E0,-3.661950111E0,1.939050078E0
5.759764130E-1,5.400000095E0,-3.712050200E0,1.786050081E0
5.784791830E-1,5.484000206E0,-3.628050089E0,1.651950121E0
5.809819710E-1,5.497950077E0,-3.439050198E0,1.563000083E0
5.834847400E-1,5.509950161E0,-3.300000191E0,1.561050057E0
5.859875140E-1,5.517000198E0,-3.136950254E0,1.588950038E0
5.884902840E-1,5.593950272E0,-2.995950222E0,1.695000052E0
5.909930540E-1,5.697000504E0,-3.007950068E0,1.824000120E0
5.934958240E-1,5.889000416E0,-3.025050163E0,2.001000166E0
5.959985160E-1,6.151950359E0,-3.112950087E0,2.260050058E0
5.985012840E-1,6.322050095E0,-3.268950224E0,2.530950069E0
6.010040530E-1,6.456000328E0,-3.367050171E0,2.739000082E0
6.035068220E-1,6.565950394E0,-3.492000103E0,2.964000225E0
6.060095910E-1,6.657000542E0,-3.600000143E0,3.204000235E0
6.085123610E-1,6.664950371E0,-3.705000162E0,3.421950102E0
6.110151250E-1,6.676950455E0,-3.817050219E0,3.685050249E0
6.135176650E-1,6.661950111E0,-3.930000305E0,3.970050097E0
6.160206780E-1,6.595050335E0,-3.991950274E0,4.219050407E0
6.185232190E-1,6.589950085E0,-4.069050312E0,4.497000217E0
6.210259860E-1,6.400950432E0,-4.107000351E0,4.777050018E0
6.235287690E-1,6.400950432E0,-4.252950191E0,4.986000061E0
6.260315380E-1,6.526050091E0,-4.394999981E0,5.140950203E0
6.285342940E-1,6.568950176E0,-4.555050373E0,5.308950424E0
6.310369880E-1,6.541950226E0,-4.656000137E0,5.395050049E0
6.335398320E-1,6.523050308E0,-4.768050194E0,5.368950367E0
6.360426030E-1,6.490050316E0,-4.840050220E0,5.328000069E0
