"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.333197040E-1,-8.042374849E-1,-5.611374974E-1,2.245374918E-1
4.358224660E-1,-8.020374775E-1,-6.197124720E-1,2.330625057E-1
4.383252350E-1,-7.935125232E-1,-6.877750158E-1,2.415875047E-1
4.408280040E-1,-7.797625065E-1,-7.686250210E-1,2.606999874E-1
4.433307740E-1,-7.616124749E-1,-8.590999842E-1,2.968625128E-1
4.458335430E-1,-7.425000072E-1,-9.475125074E-1,3.383874893E-1
4.483360830E-1,-7.222874761E-1,-1.025200009E0,3.702875078E-1
4.508388510E-1,-6.892874837E-1,-1.103850007E0,3.926999867E-1
4.533418510E-1,-6.466624737E-1,-1.190062523E0,4.118124843E-1
4.558443910E-1,-6.041749716E-1,-1.289062500E0,4.384875000E-1
4.583471580E-1,-5.572875142E-1,-1.397549987E0,4.629625082E-1
4.608499570E-1,-5.115000010E-1,-1.514699936E0,4.980250001E-1
4.633527260E-1,-4.679124951E-1,-1.626350045E0,5.384500027E-1
4.658554950E-1,-4.252874851E-1,-1.717924953E0,5.788750052E-1
4.683581890E-1,-3.806000054E-1,-1.809499979E0,6.194375157E-1
4.708610340E-1,-3.316499889E-1,-1.900937438E0,6.641250253E-1
4.733637230E-1,-2.849000096E-1,-1.995674968E0,7.088124752E-1
4.758664900E-1,-2.391124964E-1,-2.091512442E0,7.523999810E-1
4.783692590E-1,-1.879625022E-1,-2.187212467E0,7.907624841E-1
4.808720290E-1,-1.358499974E-1,-2.274524927E0,8.343499899E-1
4.833747980E-1,-8.689999580E-2,-2.363899946E0,8.801375031E-1
4.858775670E-1,-4.221250117E-2,-2.454375029E0,9.279875159E-1
4.883801080E-1,1.374999993E-3,-2.543750048E0,9.780374765E-1
4.908828750E-1,4.179999977E-2,-2.635324955E0,1.031250000E0
4.933856440E-1,7.906249911E-2,-2.726762533E0,1.088724971E0
4.958884130E-1,1.152250022E-1,-2.820400000E0,1.145099998E0
4.983911820E-1,1.472624987E-1,-2.925862551E0,1.206837535E0
5.008939520E-1,1.801249981E-1,-3.043974876E0,1.267475009E0
5.033967210E-1,2.110625058E-1,-3.170612574E0,1.327012539E0
5.058994710E-1,2.270125002E-1,-3.301512480E0,1.385587454E0
5.084022400E-1,2.398000062E-1,-3.419625044E0,1.434537530E0
5.109050100E-1,2.323749959E-1,-3.520687580E0,1.478262544E0
5.134077380E-1,2.099625021E-1,-3.599474907E0,1.514425039E0
5.159105050E-1,1.843875051E-1,-3.662174940E0,1.552649975E0
5.184132450E-1,1.524875015E-1,-3.697375059E0,1.578225017E0
5.209160150E-1,1.142624989E-1,-3.722949982E0,1.587849975E0
5.234187840E-1,8.126249909E-2,-3.754849911E0,1.591012478E0
5.259215670E-1,4.716249928E-2,-3.789912462E0,1.598437548E0
5.284243360E-1,1.842499897E-2,-3.825112581E0,1.605862498E0
5.309268770E-1,-1.031249948E-2,-3.859075069E0,1.616587520E0
5.334296440E-1,-2.942499891E-2,-3.897437572E0,1.631437540E0
5.359324130E-1,-4.015000165E-2,-3.923012495E0,1.663337469E0
5.384351830E-1,-4.757500067E-2,-3.943224907E0,1.715450048E0
5.409379520E-1,-6.036249921E-2,-3.958075047E0,1.761237502E0
5.434407210E-1,-6.778749824E-2,-3.982549906E0,1.815549970E0
5.459434900E-1,-7.204999775E-2,-4.017749786E0,1.871924996E0
5.484462600E-1,-7.521250099E-2,-4.047450066E0,1.927337527E0
5.509490300E-1,-7.095000148E-2,-4.077287674E0,1.986874938E0
5.534518000E-1,-6.668750197E-2,-4.108087540E0,2.048612595E0
5.559545110E-1,-6.462500244E-2,-4.137925148E0,2.108150005E0
5.584572790E-1,-5.609999970E-2,-4.170925140E0,2.164662600E0
5.609600480E-1,-5.183750018E-2,-4.198562622E0,2.219937563E0
5.634628080E-1,-4.867500067E-2,-4.217812538E0,2.273149967E0
5.659655770E-1,-4.963750020E-2,-4.227300167E0,2.325262547E0
5.684683460E-1,-5.389999971E-2,-4.226337433E0,2.369950056E0
5.709708770E-1,-6.778749824E-2,-4.213550091E0,2.407212496E0
5.734736440E-1,-8.689999580E-2,-4.194300175E0,2.437050104E0
5.759764130E-1,-1.135749966E-1,-4.167762280E0,2.455199957E0
5.784792020E-1,-1.465750039E-1,-4.145349979E0,2.476375103E0
5.809819710E-1,-1.827374995E-1,-4.136825085E0,2.505112410E0
5.834847450E-1,-2.337500006E-1,-4.136825085E0,2.539212465E0
5.859875140E-1,-2.901250124E-1,-4.148650169E0,2.581837416E0
5.884902840E-1,-3.508999944E-1,-4.161300182E0,2.626524925E0
5.909930540E-1,-4.061749876E-1,-4.166662693E0,2.672174931E0
5.934958240E-1,-4.604874849E-1,-4.163499832E0,2.717962503E0
5.959985160E-1,-5.105375051E-1,-4.154974937E0,2.762650013E0
5.985012840E-1,-5.509625077E-1,-4.140124798E0,2.803075075E0
6.010040530E-1,-5.839625001E-1,-4.116612434E0,2.842537403E0
6.035068220E-1,-6.115999818E-1,-4.095437527E0,2.880762577E0
6.060095910E-1,-6.329125166E-1,-4.075087547E0,2.917062521E0
6.085123560E-1,-6.466624737E-1,-4.054874897E0,2.956387520E0
6.110151250E-1,-6.531249881E-1,-4.043187618E0,2.994750023E0
6.135176800E-1,-6.594499946E-1,-4.036862373E0,3.034075022E0
6.160206780E-1,-6.562874913E-1,-4.038925171E0,3.075599909E0
6.185232190E-1,-6.381375194E-1,-4.048550129E0,3.122349977E0
6.210260000E-1,-6.115999818E-1,-4.067662716E0,3.163874865E0
6.235287690E-1,-5.754374862E-1,-4.096399784E0,3.215987444E0
6.260315380E-1,-5.328124762E-1,-4.125137329E0,3.272500038E0
6.285342940E-1,-4.849624932E-1,-4.158137321E0,3.311825037E0
6.310369880E-1,-4.285874963E-1,-4.192237377E0,3.349087477E0
6.335398320E-1,-3.668499887E-1,-4.226337433E0,3.393774986E0
6.360426030E-1,-3.029125035E-1,-4.266762257E0,3.440662384E0
6.385452960E-1,-2.411749959E-1,-4.306087494E0,3.487412453E0
6.410480630E-1,-1.816374958E-1,-4.337987423E0,3.540625095E0
6.435508320E-1,-1.241625026E-1,-4.366724968E0,3.602362394E0
6.460536010E-1,-7.095000148E-2,-4.381712437E0,3.658737421E0
6.485563710E-1,-2.419999987E-2,-4.389137268E0,3.707687378E0
6.510591400E-1,2.062499896E-2,-4.381712437E0,3.753474951E0
6.535619090E-1,5.348749831E-2,-4.358200073E0,3.799262524E0
6.560644450E-1,8.016250283E-2,-4.326300144E0,3.843950033E0
6.585672120E-1,9.501250088E-2,-4.283675194E0,3.888637543E0
