"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
6.335398320E-1,-1.895827293E0,-4.743023872E0,3.398084641E-1
6.360426030E-1,-1.928827286E0,-4.815023899E0,2.988581657E-1
6.385452960E-1,-2.106877327E0,-4.831974030E0,2.418584824E-1
6.410480630E-1,-2.146927357E0,-4.831974030E0,1.598081589E-1
6.435508320E-1,-1.935877323E0,-4.888973713E0,4.490852356E-2
6.460536010E-1,-1.744927406E0,-4.876974106E0,-7.914161682E-2
6.485563710E-1,-1.512877464E0,-4.872923851E0,-2.760915756E-1
6.510591400E-1,-1.712987423E0,-4.200908661E0,2.916312218E-1
6.535619090E-1,-1.585652828E0,-4.212774277E0,1.964044571E-1
6.560644450E-1,-1.432335854E0,-4.200089455E0,6.590700150E-2
6.585672120E-1,-1.284429550E0,-4.111402512E0,-3.239679337E-2
6.610699810E-1,-1.130952835E0,-4.061032772E0,-7.433629036E-2
6.635727600E-1,-8.908166885E-1,-3.989287853E0,-1.238777637E-1
6.660755300E-1,-6.204757690E-1,-3.974844456E0,-2.811074257E-1
6.685782990E-1,-4.007854462E-1,-3.814595222E0,-2.157347202E-1
6.710810730E-1,-1.514329910E-1,-3.777970314E0,-2.009041309E-1
6.735837670E-1,2.155933380E-1,-3.653954506E0,-1.228241920E-1
6.760866120E-1,5.511064529E-1,-3.624133110E0,-3.126740456E-2
6.785894210E-1,9.155111313E-1,-3.616413593E0,1.373291016E-3
6.810921900E-1,1.202461243E0,-3.693363667E0,1.063733101E-1
6.835948820E-1,1.501561165E0,-3.700413704E0,2.143733501E-1
6.860976500E-1,1.779511452E0,-3.628413677E0,3.654234409E-1
6.886004190E-1,1.949460983E0,-3.633363724E0,5.814232826E-1
6.911031880E-1,1.937461853E0,-3.602463722E0,7.654731274E-1
6.936059570E-1,2.117461205E0,-3.638463497E0,8.994233608E-1
6.961087260E-1,2.402461052E0,-3.702363491E0,1.098473310E0
6.986112670E-1,2.621387482E0,-2.812279701E0,2.041054487E0
7.011140340E-1,2.737679482E0,-2.794130087E0,2.410699368E0
7.036168080E-1,2.865189552E0,-2.865330458E0,2.589972734E0
7.061198080E-1,2.813113213E0,-2.609502792E0,2.885543346E0
7.086223490E-1,2.744113922E0,-2.556552887E0,2.948543549E0
7.111251250E-1,3.180994987E0,-2.508613586E0,3.141794920E0
7.136278940E-1,3.553215981E0,-2.451504946E0,3.345749855E0
7.161306640E-1,3.764556885E0,-2.413308144E0,3.531839609E0
7.186334330E-1,3.971377373E0,-2.233246803E0,3.679035187E0
7.211361270E-1,4.171820641E0,-2.018354177E0,3.784396172E0
7.236389710E-1,4.167048454E0,-1.903464556E0,3.654545307E0
7.261416760E-1,4.048092842E0,-1.677234411E0,3.415377140E0
7.286444430E-1,4.313106537E0,-1.751411438E0,3.036671162E0
7.311472120E-1,4.578617096E0,-1.628909588E0,2.937991142E0
7.336499990E-1,4.649405479E0,-1.635396957E0,2.758192539E0
7.361527690E-1,4.800455093E0,-1.661496639E0,2.497192383E0
7.386555380E-1,4.966505051E0,-1.714446545E0,2.181142330E0
7.411583070E-1,5.095505714E0,-1.738446712E0,1.927192211E0
7.436608480E-1,5.150405884E0,-1.764396667E0,1.728142262E0
7.461636150E-1,5.265455246E0,-1.762446880E0,1.580242157E0
7.486663840E-1,5.382455826E0,-1.764396667E0,1.391242266E0
7.511691530E-1,5.507405281E0,-1.745496750E0,1.194142342E0
7.536719220E-1,5.943711281E0,-9.848132133E-1,1.493841767E0
7.561746920E-1,6.158654213E0,-8.600196838E-1,1.397610068E0
7.586774610E-1,6.296854973E0,-7.636013031E-1,1.356761456E0
7.611802300E-1,6.458287239E0,-7.547025681E-1,1.352683425E0
7.636829990E-1,6.624670029E0,-6.813511848E-1,1.374320865E0
7.661857690E-1,6.758107185E0,-6.238484383E-1,1.468019485E0
7.686885540E-1,6.954970360E0,-4.711470604E-1,1.571985722E0
7.711912470E-1,7.132655144E0,-3.939027786E-1,1.650571823E0
7.736940090E-1,7.306660652E0,-4.300527573E-1,1.779105663E0
7.761967790E-1,7.447660446E0,-4.341025352E-1,1.901055813E0
7.786995480E-1,7.658710480E0,-4.660525322E-1,2.195055723E0
7.812023170E-1,7.704760551E0,-4.821028709E-1,2.499105692E0
7.837050860E-1,7.521760941E0,-4.440026283E-1,2.705055714E0
7.862078560E-1,7.601710320E0,-4.990525246E-1,2.899155855E0
7.887103960E-1,8.000711441E0,-5.880026817E-1,3.065055847E0
7.912131630E-1,8.635660172E0,-8.751025200E-1,3.299056053E0
7.937159330E-1,9.691597939E0,-5.622658730E-1,3.602891207E0
7.962187020E-1,1.006791115E1,-4.190759659E-1,3.712881327E0
7.987214380E-1,1.014673996E1,-1.188540459E-1,3.826573849E0
8.012242070E-1,1.012220764E1,2.654433250E-1,3.820183754E0
8.037269760E-1,1.003279495E1,6.077384949E-1,3.771843195E0
8.062297550E-1,1.010645676E1,8.943409920E-1,3.677321434E0
8.087324490E-1,1.020428467E1,9.733181000E-1,3.429158926E0
8.112352790E-1,1.035472679E1,1.032660961E0,3.105355501E0
8.137380500E-1,1.044491577E1,1.012106419E0,2.704081059E0
8.162407430E-1,1.049786568E1,9.410066605E-1,2.256031036E0
8.187435100E-1,1.054286575E1,9.450564384E-1,1.653031111E0
8.212462790E-1,1.055081558E1,9.311065674E-1,1.119030952E0
8.237490480E-1,1.061981583E1,1.000106335E0,5.460309386E-1
8.262518180E-1,1.061786461E1,1.132106304E0,-2.396911383E-2
8.287545870E-1,1.058891487E1,1.257056713E0,-5.969691277E-1
8.312573560E-1,1.057886505E1,1.400006294E0,-1.099919081E0
8.337599020E-1,1.096659660E1,1.913918018E0,-1.510485888E0
8.362626690E-1,1.105669212E1,2.070251465E0,-1.946333170E0
8.387654380E-1,1.110536671E1,2.200558662E0,-2.338154793E0
8.412681970E-1,1.123239899E1,2.302548885E0,-2.659795761E0
8.437709670E-1,1.132093430E1,2.418401241E0,-2.933109760E0
8.462737360E-1,1.138485909E1,2.521217823E0,-3.100211143E0
8.487765050E-1,1.145010281E1,2.676721573E0,-3.227936268E0
8.512792740E-1,1.153442478E1,2.766968250E0,-3.560569525E0
8.537820390E-1,1.164432907E1,2.869015217E0,-4.625399113E0
8.562847330E-1,1.170716286E1,3.051871300E0,-4.939298630E0
8.587875770E-1,1.156372356E1,3.091481686E0,-4.782363892E0
8.612903480E-1,1.147267246E1,3.170531750E0,-4.408413887E0
8.637930410E-1,1.135267353E1,3.307481527E0,-3.965313673E0
8.662958080E-1,1.113277340E1,3.324431658E0,-3.491313696E0
8.687985770E-1,1.096477222E1,3.295481682E0,-3.052413702E0
8.713013460E-1,1.070572376E1,3.202481747E0,-2.509413719E0
8.738041160E-1,1.048777294E1,3.113531590E0,-1.807413578E0
8.763068850E-1,1.039972210E1,3.099431515E0,-1.007313609E0
8.788096490E-1,1.064083576E1,3.372097492E0,-7.651556134E-1
8.813124180E-1,1.053775024E1,3.351236343E0,-7.418664694E-1
8.838149590E-1,1.041804886E1,3.378971577E0,-6.245856285E-1
8.863177120E-1,1.033838558E1,3.425735474E0,-5.541867018E-1
8.888204810E-1,1.029515457E1,3.511792183E0,-5.758026838E-1
8.913232500E-1,1.030536842E1,3.496391296E0,-5.924598575E-1
8.938260150E-1,1.042329597E1,3.550128937E0,-7.699699998E-1
8.963287790E-1,1.048967171E1,3.605806589E0,-9.875210524E-1
8.988315480E-1,1.048272991E1,3.680255413E0,-1.081011295E0
9.013343170E-1,1.040193748E1,3.753763914E0,-1.176571727E0
9.038370630E-1,1.026534081E1,3.913554668E0,-1.290943027E0
9.063398330E-1,1.009792423E1,4.077608585E0,-1.311529398E0
9.088426030E-1,9.903975487E0,4.197608471E0,-1.416529417E0
9.113452950E-1,9.797924995E0,4.420508385E0,-1.534579396E0
9.138480630E-1,9.768975258E0,4.540508270E0,-1.675579429E0
9.163508320E-1,9.778875351E0,4.659608841E0,-1.879579425E0
9.188536010E-1,9.826874733E0,4.753508568E0,-2.089579344E0
9.213563700E-1,9.883875847E0,4.849508286E0,-2.286529541E0
9.238591400E-1,9.939974785E0,5.002508640E0,-2.494579554E0
9.263619090E-1,1.006228638E1,5.103230476E0,-2.790411711E0
9.288646780E-1,1.015954781E1,5.213135719E0,-3.039981365E0
9.313674470E-1,1.030770683E1,5.286424637E0,-3.323190451E0
9.338699880E-1,1.043460655E1,5.394424438E0,-3.706140518E0
9.363729860E-1,1.054527283E1,5.461972713E0,-4.063706398E0
9.388757570E-1,1.067920113E1,5.580405712E0,-4.428557396E0
9.413782950E-1,1.090522194E1,5.670009613E0,-4.904411793E0
9.438810630E-1,1.101437569E1,5.792032719E0,-5.353371620E0
9.463838370E-1,1.120264816E1,5.903687477E0,-5.764271259E0
9.488866060E-1,1.133646488E1,5.980045319E0,-6.158239841E0
9.513893750E-1,1.151121712E1,6.083760738E0,-6.549487114E0
9.538921210E-1,1.153053188E1,6.137612820E0,-6.780290604E0
9.563948950E-1,1.134605408E1,6.066993237E0,-7.287651539E0
9.588976640E-1,1.055475426E1,5.972122669E0,-8.969212532E0
9.614003580E-1,9.367556572E0,5.894224644E0,-1.112657356E1
9.639031260E-1,8.089556694E0,5.750225067E0,-1.358852386E1
9.664058950E-1,6.671606064E0,5.532124519E0,-1.541057396E1
9.689086640E-1,5.308556557E0,5.259124756E0,-1.659452438E1
9.714114330E-1,4.213556290E0,4.826224804E0,-1.716152382E1
9.739142030E-1,3.447656631E0,4.325224876E0,-1.723547363E1
9.764169720E-1,2.712656021E0,3.865174770E0,-1.710452461E1
9.789197410E-1,-7.553439140E-1,3.803224802E0,-1.561652374E1
9.814222910E-1,-6.754932404E-1,3.218135834E0,-1.500243092E1
9.839252890E-1,7.207322121E-1,2.649893284E0,-1.442998409E1
9.864280600E-1,-1.640329361E-1,2.546131134E0,-1.247760010E1
9.889308480E-1,-3.769688606E-1,2.559496403E0,-1.087584019E1
9.914333860E-1,-5.929193497E-1,2.644609928E0,-9.464379311E0
9.939361540E-1,-5.196561813E-1,2.888750553E0,-8.151339531E0
9.964389230E-1,-6.223249435E-2,2.939018250E0,-6.835430622E0
9.989416920E-1,5.378975868E-1,2.936877489E0,-5.711616516E0
1.001444461E0,8.942489624E-1,3.063004494E0,-4.578955173E0
1.003947236E0,1.081312656E0,2.964227438E0,-3.484646082E0
1.006450005E0,1.629412174E0,2.988227367E0,-2.899646044E0
