"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
3.832888177E0,-1.256250024E0,9.262500763E0,-3.258750153E1
3.852891735E0,-2.062500000E0,7.312500477E0,-3.305625153E1
3.872890466E0,-1.256250024E0,6.787500381E0,-3.487500000E1
3.892885653E0,1.875000000E-1,3.956250191E0,-3.371250153E1
3.912889128E0,1.856250048E0,2.906250000E0,-3.480000305E1
3.932887867E0,2.231250048E0,8.812500238E-1,-3.316875076E1
3.952894193E0,3.431250095E0,3.562500179E-1,-3.496875000E1
3.972895054E0,3.918750048E0,2.812500000E-1,-3.466875076E1
3.992891816E0,3.825000048E0,-4.500000179E-1,-3.515625000E1
4.012896152E0,2.943750143E0,-2.212500095E0,-3.361875153E1
4.032895575E0,3.056250095E0,-2.868750095E0,-3.410625076E1
4.052890834E0,4.162500381E0,-2.381250143E0,-3.551250076E1
4.072894004E0,4.143750191E0,-2.475000143E0,-3.472500229E1
4.092892461E0,3.956250191E0,-2.568750143E0,-3.491250229E1
4.112887021E0,3.881250143E0,-2.568750143E0,-3.613125229E1
4.132890402E0,3.693750143E0,-2.306250095E0,-3.603750229E1
4.152888936E0,4.387500286E0,-9.937500358E-1,-3.534375000E1
4.172882396E0,4.893750191E0,2.043750048E0,-3.690000153E1
4.192884841E0,2.906250000E0,4.575000286E0,-3.613125229E1
4.212883004E0,2.362500191E0,6.393750191E0,-3.605625153E1
4.232888835E0,1.668750048E0,1.006875038E1,-3.590625000E1
4.252891166E0,1.912500024E0,1.006875038E1,-3.429375076E1
4.272886908E0,4.781250000E0,1.143750000E1,-3.431250000E1
4.292890809E0,4.125000000E0,1.177500057E1,-3.493125153E1
4.312891104E0,4.406250000E0,1.141875076E1,-3.451875305E1
4.332885682E0,4.612500191E0,1.224375057E1,-3.423750305E1
4.352889414E0,5.062500000E0,1.438125038E1,-3.455625153E1
4.372887812E0,3.881250143E0,1.500000095E1,-3.386250305E1
4.392893462E0,2.043750048E0,1.578750038E1,-3.298125076E1
4.412894544E0,4.875000119E-1,1.666875076E1,-3.208125305E1
4.432890776E0,1.875000000E-1,1.685625076E1,-3.178125191E1
4.452895505E0,-5.625000000E-1,1.691250038E1,-3.230625153E1
4.472894307E0,-5.250000358E-1,1.803750038E1,-3.262500000E1
4.492889168E0,-1.406250000E0,1.726875114E1,-3.371250153E1
4.512892092E0,-1.218750000E0,1.689375114E1,-3.371250153E1
4.532890418E0,-1.106250048E0,1.625625038E1,-3.491250229E1
4.552886939E0,-2.137500048E0,1.503750038E1,-3.448125076E1
